ID,Title,Kyu Level,Style,Description
1,Happomoku,1,Basic,Eye movement to assess all directions. Develops awareness and preparedness for incoming attacks.
2,Anza,1,Basic,Sitting meditation posture. Cultivates mental focus and stability.
3,Entrance ceremony,6,Basic,Formal procedures for entering the dojo. Reinforces respect and discipline.
4,Kyakka shoko,6,Basic,Bowing upon entering and leaving the dojo. Shows gratitude and respect for the training space.
5,Gassho rei,6,Basic,Formal greeting with hands together. Demonstrates respect and humility.
6,Various stances,6,Kamae,"Includes stances like chudan gamae, ichiji gamae, etc. Foundational postures for stability and technique execution."
7,Chosoku ho,6,Basic,Method of maintaining a centered posture. Promotes balance and efficient movement.
8,Sokui ho,6,Basic,Breathing exercises for relaxation and focus. Enhances mental and physical composure.
9,Sei tai,6,Shifting,Shifting the body weight to a forward stance. Prepares for offensive techniques.
10,Tai,6,Shifting,Shifting the body weight to a neutral stance. Provides a balanced foundation for both offense and defense.
11,Hiraki,6,Shifting,Shifting the body weight to a back stance. Sets up defensive techniques.
12,Ryusui geri (ushiro),6,Kihon,Roundhouse kick. A powerful offensive technique.
13,Uchi uke zuki (ura),6,Kihon,Inside block followed by a punch. A basic defensive and counter-offensive combination.
14,Tenshin geri,6,Kihon,Turning kick. Utilizes momentum for a dynamic attack.
15,Uwa uke zuki (omote),6,Kihon,Outside block followed by a punch. A fundamental defensive and counter-offensive technique.
16,Kote nuki,6,Kihon,Wrist release technique. A core self-defense skill.
17,De ashi,6,Basic,Sliding the foot forward. Used for advancing stances and techniques.
18,Hiki ashi,6,Basic,Sliding the foot backward. Used for retreating stances and techniques.
19,Yoko ashi,6,Basic,Sliding the foot sideways. Used for lateral movement and evasion.
20,Ryusui uke,6,Basic,Basic upper-level block. Deflects attacks aimed at the head or upper body.
21,Hikimi,6,Basic,Pulling in the abdomen for focus and power generation. Engages core muscles and improves stability.
22,Irimi,6,Basic,Entering or stepping forward. Used to close distance and initiate attacks.
23,Jun zuki,6,Basic,Straight punch with the lead hand. A fundamental offensive technique.
24,Gyaku zuki,6,Basic,Straight punch with the rear hand. A powerful offensive technique.
25,Jun geri,6,Basic,Straight kick with the lead leg. A basic kicking technique.
26,Gyaku geri,6,Basic,Straight kick with the rear leg. A powerful kicking technique.
27,Uwa uke,6,Basic,Outside block. Deflects attacks coming from the outside.
28,Uchi uke,6,Basic,Inside block. Deflects attacks coming from the inside.
29,Shita uke,6,Basic,Lower block. Deflects attacks aimed at the lower body.
30,Jodan zuki,6,Basic,Punch to the upper level (head). A basic offensive technique.
31,Chudan geri,6,Basic,Kick to the middle level (body). A basic kicking technique.
32,Juji ashi sagari,6,Basic,Stepping back with the feet crossed. Used for evading attacks and creating angles.
33,Kumo ashi sagari,6,Basic,Stepping back with the feet apart. Used for maintaining balance while retreating.
34,Do zuki,6,Basic,Strike with the fist to a padded target. Used for practicing power and accuracy.
35,Do geri,6,Basic,Kick to a padded target. Used for practicing power and accuracy.
36,Mae ukemi,6,Basic,Forward roll breakfall. Used for safely falling forward.
37,Ushiro ukemi,6,Basic,Backward roll breakfall. Used for safely falling backward.
38,Daisharin,6,Basic,Cartwheel. Develops agility and coordination.
39,Zen tenkan,6,Basic,Full turn. Used for changing direction and facing the opponent.
40,Han tenkan,6,Basic,Half turn. Used for changing direction and facing the opponent.
41,Kagi zuki,6,Basic,Hook punch. A circular punch aimed at the head or body.
42,Harai uke,6,Basic,Sweeping block. Used for deflecting attacks with a sweeping motion.
43,Uchi harai uke,6,Basic,Inside sweeping block. Used for deflecting attacks coming from the inside.
44,Oten yori okiagari,6,Basic,Standing up from a supine position. Practices recovery and regaining balance.
45,Nuki te,6,Basic,Hand-releasing techniques. Used for escaping grabs and holds.
46,Uraken uchi,6,Basic,Backfist strike. A close-range offensive technique.
47,Kote nuki,6,Basic,Wrist release technique. A core self-defense skill.
48,Kagite shuho,6,Basic,Method of grabbing the opponent's hand. Used for initiating joint locks and throws.
49,Uraken chudan zuki,6,Basic,Backfist strike to the middle level (body). A close-range offensive technique.
50,Sashikae irimi,6,Basic,Stepping forward with the rear leg. Used for closing distance and initiating attacks.
51,Chidori irimi,6,Basic,Stepping forward with the lead leg. Used for closing distance and initiating attacks.
52,Hiraki sagari,6,Basic,Stepping back with the rear leg. Used for creating distance and setting up defenses.
53,Jun sagari,6,Basic,Stepping back with the lead leg. Used for creating distance and setting up defenses.
54,Offenses while moving,6,Basic,Practicing punches and kicks while moving forward or backward. Develops dynamic striking skills.
55,Defenses while moving,6,Basic,Practicing blocks and evasions while moving forward or backward. Develops dynamic defensive skills.
